Cloud_Resource_ID,CPU_Utilization (%),Memory_Utilization (%),Network_Traffic (Mbps),Storage_Usage (GB),Auto-Scaling_Action,Scaling_Reason,Deep_Learning_Model,Model_Training_Time (hours),Model_Accuracy (%),Workload_Response_Time (ms),Auto-Scaling_Effectiveness,Auto-Scaling_Decision,Resource_Allocation (%),Auto-Scaling_Policy,Training_Data_Size (GB),Learning_Rate,Activation_Function,Loss_Function,Epochs_Trained
1,77.53597509,13.63632366,826.045096,677.0036494,Scale Down,High Memory Usage,GAN,20.44598313,60.24215579,15.29211667,43.38923379,Scale Up,87.14223662,Reactive,27.6863805,0.008179329,Tanh,MSE,26
2,92.29459753,86.07551417,210.6779179,189.3607301,No Action,High CPU Usage,RNN,4.672431686,57.86621111,28.20602448,63.85901169,Scale Down,73.38349118,Predictive,85.10000411,0.001130964,Sigmoid,MSE,86
3,97.07743523,80.90098045,602.7380275,429.9472627,Scale Up,High Memory Usage,RNN,9.636480743,89.88153173,24.82493394,5.548942696,Scale Down,51.90826088,Predictive,30.09521633,0.00646881,Leaky ReLU,MAE,54
4,27.57585885,87.32527817,568.1362981,584.1007618,No Action,High Network Traffic,LSTM,14.33819303,93.96399424,43.54385689,60.46719328,Scale Up,88.90646622,Threshold-based,28.05634492,0.006583332,Sigmoid,Cross-Entropy,18
5,51.49630836,48.31311879,34.39245206,970.3647099,No Action,High CPU Usage,CNN,5.278487307,68.073121,91.08633233,77.38302812,No Action,62.42816725,Predictive,50.94727662,0.004388825,Tanh,MAE,22
6,45.26528615,46.83181754,565.1357278,729.4240483,No Action,High CPU Usage,GAN,22.13797983,67.88561358,5.27395976,98.84015639,Scale Up,7.647787693,Predictive,52.15260285,0.006759472,Leaky ReLU,Cross-Entropy,33
7,12.55188496,46.71423871,365.2991719,938.2949005,Scale Down,High CPU Usage,LSTM,6.495929822,62.12936614,69.7024978,17.19643103,No Action,78.93902914,Reactive,98.29336672,0.00135984,Leaky ReLU,Cross-Entropy,1
8,53.81128684,65.3523831,283.1611324,229.484428,No Action,High Memory Usage,GAN,11.26562815,80.77016666,40.83136564,64.60873922,No Action,51.04149922,Threshold-based,90.00942666,0.004161532,Tanh,MSE,28
9,28.58562141,48.61385398,114.8577308,184.0896678,Scale Down,High Memory Usage,LSTM,19.80671988,74.74863251,87.71706292,79.80874759,No Action,42.37151445,Threshold-based,38.68739422,0.002586939,ReLU,MAE,77
10,60.26821988,93.76957748,302.5692227,714.4973924,Scale Up,High Memory Usage,CNN,15.30762814,89.00169788,90.72098873,96.80714016,Scale Up,16.28788611,Reactive,39.9792432,0.005378981,Tanh,MAE,46
11,47.69232513,11.35986451,178.4419882,795.55663,Scale Down,High CPU Usage,CNN,14.31342204,64.16133525,17.12200906,42.29611867,No Action,93.7018707,Threshold-based,18.70695197,0.009226778,Sigmoid,MAE,75
12,87.11051683,24.31333109,707.0741938,662.2750229,Scale Down,High Network Traffic,LSTM,10.04209431,66.35046352,32.22898579,64.52778592,Scale Up,11.59430597,Predictive,47.13734495,0.002229484,Leaky ReLU,MSE,4
13,4.480482585,89.26053493,858.1539682,394.0008349,No Action,High Network Traffic,RNN,2.766855277,67.00059691,85.75026975,54.46330813,Scale Up,73.14082141,Threshold-based,44.84492906,0.007293036,Leaky ReLU,Cross-Entropy,87
14,96.90468546,44.32872213,951.8903289,412.1911347,Scale Down,High Memory Usage,GAN,21.13634302,72.62030398,25.14909913,6.217981032,No Action,97.73402468,Threshold-based,95.65886738,0.003418201,Sigmoid,MAE,25
15,93.00815845,66.84813938,454.0490756,896.8045817,Scale Up,High Network Traffic,GAN,20.37887221,99.92474267,51.78214903,62.80763381,Scale Up,40.02201452,Reactive,50.81730952,0.00721006,Leaky ReLU,Cross-Entropy,30
16,14.61220756,67.09446612,206.9113541,496.9669706,Scale Down,High Memory Usage,GAN,14.33637004,60.23736586,22.33650303,70.90135558,Scale Up,38.6596464,Predictive,64.93483228,0.001520788,Sigmoid,MAE,25
17,14.58379938,7.421708993,525.4863088,855.7114643,Scale Up,High Memory Usage,GAN,1.067937191,84.03745692,31.43345163,50.45162454,Scale Down,25.16177749,Reactive,27.71647968,0.008867779,Tanh,MAE,4
18,45.98816357,33.92720097,146.9934655,743.0675295,Scale Up,High Memory Usage,CNN,9.08855058,87.05140979,40.51269158,96.64635792,Scale Down,44.08255776,Threshold-based,43.56974322,0.005201199,Tanh,Cross-Entropy,43
19,82.42162447,48.80008752,403.6529319,58.50245237,No Action,High Network Traffic,RNN,17.3297526,89.40005982,76.36593082,74.34529433,Scale Up,3.412557077,Reactive,96.64590884,0.001980895,ReLU,MAE,4
20,79.44264562,27.75389775,709.9082972,439.2824872,Scale Down,High Memory Usage,GAN,20.27792947,81.32994583,74.81503273,87.75168657,Scale Down,47.91204981,Threshold-based,53.86392841,0.008899561,Sigmoid,MSE,53
21,10.83456325,10.91477122,507.4543731,763.7406671,Scale Up,High CPU Usage,LSTM,13.47445362,76.23637559,2.584552413,50.28539196,Scale Down,7.946206146,Predictive,61.7123637,0.002048449,ReLU,MSE,1
22,1.631897043,38.47704937,822.3598517,634.2523214,No Action,High Network Traffic,RNN,9.611668006,96.75798152,27.47467727,5.073674611,Scale Up,84.65013423,Threshold-based,91.98828127,0.005447976,ReLU,MAE,20
23,19.82736183,39.32586445,527.7215921,190.4092187,No Action,High Network Traffic,LSTM,23.18915342,85.37906265,32.29000714,53.69211477,No Action,6.43571919,Threshold-based,55.15111931,0.005574137,ReLU,Cross-Entropy,29
24,55.34543803,95.93956361,0.600104941,315.6181324,Scale Up,High CPU Usage,GAN,6.330285209,91.99278588,62.12393106,22.03997348,Scale Down,4.924214658,Predictive,18.67193286,0.005277457,Tanh,MSE,24
25,28.68333133,52.55883146,863.1296116,694.3950405,Scale Down,High CPU Usage,LSTM,1.598145047,82.22497443,64.91413877,64.46990503,No Action,67.46884282,Predictive,63.48759479,0.006730852,Tanh,Cross-Entropy,20
26,41.90160901,2.311603305,878.5821606,610.2393782,No Action,High Memory Usage,RNN,9.849982439,51.7836595,26.11787315,84.23489158,Scale Down,68.441054,Threshold-based,93.13944589,0.009951822,Leaky ReLU,Cross-Entropy,87
27,2.819255524,72.04869311,345.0212112,509.634359,Scale Down,High Memory Usage,LSTM,5.116298109,91.02599341,28.86693936,57.95810715,No Action,15.53315755,Threshold-based,13.78852056,0.003982161,Sigmoid,MSE,77
28,50.17987214,57.04488388,730.2823733,879.5953836,No Action,High Memory Usage,GAN,8.6420843,90.10555617,44.74108811,16.34303159,Scale Down,56.62345031,Predictive,68.97267512,0.002658921,Tanh,MSE,47
29,18.3487999,90.55642533,955.5115766,515.440169,No Action,High CPU Usage,CNN,15.04143746,79.61385172,78.76459005,55.77859336,No Action,85.46110479,Threshold-based,2.912586158,0.007705624,Leaky ReLU,MSE,67
30,66.26796952,26.02993125,590.4661129,299.3164143,Scale Up,High CPU Usage,LSTM,19.94565344,51.73381786,56.91577602,3.518891826,Scale Down,83.15890048,Reactive,14.35040438,0.003862239,Leaky ReLU,Cross-Entropy,99
31,8.433479548,63.86531119,831.165896,938.223321,No Action,High Network Traffic,CNN,13.05457583,92.80560737,5.883095321,15.49827688,Scale Down,41.65501797,Predictive,92.44086296,0.009009702,Sigmoid,Cross-Entropy,99
32,55.45288528,89.00086322,157.9174292,679.3869821,No Action,High Network Traffic,RNN,5.827603305,59.4758187,52.51769416,35.09270004,Scale Up,53.89033554,Predictive,65.3304862,0.002596851,Leaky ReLU,MAE,8
33,11.66184037,82.59219381,995.2191744,804.6286415,Scale Up,High CPU Usage,RNN,20.49944332,90.68803466,25.67795544,70.80257307,No Action,84.72500458,Predictive,3.853693749,0.001388845,Leaky ReLU,Cross-Entropy,18
34,10.60510491,91.95088325,859.901164,768.7894176,Scale Down,High CPU Usage,GAN,15.59529342,59.23074092,66.5220462,21.15152963,Scale Up,33.85929195,Predictive,13.16900172,0.001692766,Sigmoid,MAE,8
35,34.09148836,42.52397438,671.25838,880.9956997,No Action,High Network Traffic,RNN,9.844265689,57.29434378,30.50690956,75.27418941,Scale Up,26.14197397,Threshold-based,39.46917257,0.006703759,Sigmoid,Cross-Entropy,15
36,50.00199215,69.96895188,328.0972938,345.6893805,No Action,High CPU Usage,CNN,11.39491879,88.48886186,78.15362033,81.17340499,Scale Down,46.49863959,Reactive,86.45662336,0.002677691,Leaky ReLU,MAE,74
37,57.98179514,89.1458756,502.2756156,384.020402,Scale Down,High Network Traffic,GAN,17.85208462,52.40267704,11.34932324,60.78471703,Scale Down,40.12031227,Reactive,73.48214991,0.007114687,Leaky ReLU,MAE,26
38,6.078647688,24.23988454,936.2666974,488.1759671,No Action,High CPU Usage,LSTM,1.830713676,95.05863102,22.40058983,6.051626031,Scale Up,93.96163483,Threshold-based,19.7479574,0.003184832,Tanh,Cross-Entropy,51
39,20.7853844,96.73840999,367.2595767,95.35115833,Scale Down,High CPU Usage,LSTM,14.80657017,93.27761568,45.38400731,87.82521438,Scale Up,18.06183888,Threshold-based,85.60579708,0.006596202,Tanh,MSE,40
40,22.47511097,21.45151623,78.40477039,898.1282688,Scale Down,High Network Traffic,GAN,7.955419611,95.44693741,97.90588603,4.806114139,No Action,39.00814922,Threshold-based,79.50436798,0.002105516,Leaky ReLU,MAE,57
41,0.677201468,95.97430684,151.0821233,868.0934626,No Action,High CPU Usage,GAN,15.397871,87.35243017,7.450395288,65.62442534,Scale Down,78.70627158,Predictive,79.79924127,0.003530155,Tanh,Cross-Entropy,7
